Lnumber,LID_CSV,LitList_en,LitList_jp,Link
69,L01742,"Carl, J. (1922) Wissenschaftliche Ergebnisse einer Forschungsreise nach Ostindien, ausgeführt im Auftrage der Akademie der Wissenschaften zu Berlin von H. v. Buttel-Reepen. VIII. Diplopoden aus Sumatra, Java, Malakka und Ceylon. Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 44: 565–578.",,
70,L01744,"Carl, J. (1941) Orientalische Polydesmoiden. Revue suisse de Zoologie, 48(6): 359–376.",,
71,L01377,"Carta, L. K., Thomas, W. K. and Meyer-Rochow, V. B. (2018) Two nematodes (Nematoda: Diplogastridae, Rhabditidae) from the invasive millipede <i>Chamberlinius hualienensis</i> Wang, 1956 (Diplopoda, Paradoxosomatidae) on Hachijojima Island in Japan. Journal of Nematology, 50(4): 479–486.",,https://doi.org/10.21307/jofnem-2018-048
72,L01267,"Causey, N. B. (1943) Studies on the life history and the ecology of the Hothouse Millipede, <i>Orthomorpha gracilis</i> (C. L. Koch 1847). The American Midland Naturalist, 29(3): 670–682.",,
73,L01775,"Causey, N. B. (1966) Redescriptions of two Chinese species of <i>Anaulaciulus</i> (Diplopoda, Julida, Nemasomatidae), a genus known also in Taiwan, Korea and Japan. Proceedings of the Louisiana Academy of Sciences, 29: 63–66.",,
74,L00013,"Chamberlin, R. V. (1910) Diplopoda from the western states. Annals of the Entomological Society of America, 111(4): 233–262.",,
75,L01254,"Chamberlin, R. V. (1920) The myriopod fauna of the Bermuda Islands, with notes on variation in <i>Scutigera</i>. Annals of the Entomological Society of America, 13(3): 271–302.",,
76,L01008,"Chamberlin, R. V. (1941) New polydesmoid diplopods intercepted at quarantine. Proceedings of the Entomological Society of Washington, 43(2): 32–35.",,
77,L00014,"Chamberlin, R. V. (1943) On some genera and species of American millipeds. Bulletin of the University of Utah, Biological series, 8(2): 1–20.",,https://collections.lib.utah.edu/ark:/87278/s66w9vv9
78,L00015,"Chamberlin, R. V. and Wang, Y.-H. M. (1953) Records of millipeds (Diplopoda) from Japan and other oriental areas, with descriptions of new genera and species. American Museum Novitates, (1621): 1–13.",,https://digitallibrary.amnh.org/handle/2246/4890
79,L01016,"Chao, J.-L. (2015) [Short biographies of two pioneering scholars in East Asian myriapod research]. Bulletin of Association for the History of Science, (20): 73–81.","趙 瑞隆 (2015) 二位東亞多足動物研究先驅學者小傳. 中華科技史學會學刊, (20): 73–81.",
80,L01537,"Chao, J.-L. and Chang, H.-W. (2003) The scolopendromorph centipedes (Chilopoda) of Taiwan. African Invertebrates, 44(1): 1–11.",,https://hdl.handle.net/10520/EJC84516
81,L01375,"Chao, J.-L. and Chang, H.-W. (2008) Neotype designation for two centipedes, <i>Scolopocryptops curtus</i> (Takakuwa, 1939) and <i>Cryptops nigropictus</i> Takakuwa, 1936, and a review of species of Scolopendromorpha (Chilopoda) in Taiwan. Collection and Research, 21(1): 1–15.",,
